ImageName n;Date;MaskName;ImageCutName;ImageHorizontalSobelName;ImageVerticalSobelName;HorizontalPixelNumber;VerticalPixelNumber;DirectionPlanches
au dessus des Prés.jpg;2010:08:28 11:24:52;au dessus des Présmasque.jpg;au dessus des PrésimageDecoup.jpg;Traitements/Sobel_h_au dessus des PrésimageDecoup.jpg;Traitements/Sobel_v_au dessus des PrésimageDecoup.jpg;4055773;3978482;horizontal
Au-dessus de Colombe.jpg;2011:08:04 12:23:04;Au-dessus de Colombemasque.jpg;Au-dessus de ColombeimageDecoup.jpg;Traitements/Sobel_h_Au-dessus de ColombeimageDecoup.jpg;Traitements/Sobel_v_Au-dessus de ColombeimageDecoup.jpg;2481669;2433243;horizontal
Au-dessus de Liez 1.jpg;2012:10:21 12:55:58;Au-dessus de Liez 1masque.jpg;Au-dessus de Liez 1imageDecoup.jpg;Traitements/Sobel_h_Au-dessus de Liez 1imageDecoup.jpg;Traitements/Sobel_v_Au-dessus de Liez 1imageDecoup.jpg;7767526;7683109;horizontal
au-dessus de meilleur.jpg;2006:08:10 18:18:42;au-dessus de meilleurmasque.jpg;au-dessus de meilleurimageDecoup.jpg;Traitements/Sobel_h_au-dessus de meilleurimageDecoup.jpg;Traitements/Sobel_v_au-dessus de meilleurimageDecoup.jpg;975971;975186;horizontal
Auronzo - Casa Orsina.jpg;2012:10:17 11:51:09;Auronzo - Casa Orsinamasque.jpg;Auronzo - Casa OrsinaimageDecoup.jpg;Traitements/Sobel_h_Auronzo - Casa OrsinaimageDecoup.jpg;Traitements/Sobel_v_Auronzo - Casa OrsinaimageDecoup.jpg;4854746;4833566;horizontal
Auronzo - Casa San Marco 1.jpg;2012:10:17 11:43:48;Auronzo - Casa San Marco 1masque.jpg;Auronzo - Casa San Marco 1imageDecoup.jpg;Traitements/Sobel_h_Auronzo - Casa San Marco 1imageDecoup.jpg;Traitements/Sobel_v_Auronzo - Casa San Marco 1imageDecoup.jpg;3308503;3287051;horizontal
Ayas - Le Trochet a.jpg;2016:10:13 11:22:40;Ayas - Le Trochet amasque.jpg;Ayas - Le Trochet aimageDecoup.jpg;Traitements/Sobel_h_Ayas - Le Trochet aimageDecoup.jpg;Traitements/Sobel_v_Ayas - Le Trochet aimageDecoup.jpg;4126410;4101268;horizontal
Ayas - St-jacques des Allemands 1a.jpg;2016:10:13 11:51:35;Ayas - St-jacques des Allemands 1amasque.jpg;Ayas - St-jacques des Allemands 1aimageDecoup.jpg;Traitements/Sobel_h_Ayas - St-jacques des Allemands 1aimageDecoup.jpg;Traitements/Sobel_v_Ayas - St-jacques des Allemands 1aimageDecoup.jpg;4468281;4490604;vertical
Balma - Riva Valdobbia 1.jpg;2013:05:08 11:12:10;Balma - Riva Valdobbia 1masque.jpg;Balma - Riva Valdobbia 1imageDecoup.jpg;Traitements/Sobel_h_Balma - Riva Valdobbia 1imageDecoup.jpg;Traitements/Sobel_v_Balma - Riva Valdobbia 1imageDecoup.jpg;4482923;4452883;horizontal
Balme 4 b.jpg;2013:05:04 18:40:55;Balme 4 bmasque.jpg;Balme 4 bimageDecoup.jpg;Traitements/Sobel_h_Balme 4 bimageDecoup.jpg;Traitements/Sobel_v_Balme 4 bimageDecoup.jpg;4796899;4755326;horizontal
Bassé Haut détail.jpg;2013:05:03 14:33:45;Bassé Haut détailmasque.jpg;Bassé Haut détailimageDecoup.jpg;Traitements/Sobel_h_Bassé Haut détailimageDecoup.jpg;Traitements/Sobel_v_Bassé Haut détailimageDecoup.jpg;8283829;8255055;horizontal
Bedretto (Tessin) 1.jpg;2012:10:12 12:37:22;Bedretto (Tessin) 1masque.jpg;Bedretto (Tessin) 1imageDecoup.jpg;Traitements/Sobel_h_Bedretto (Tessin) 1imageDecoup.jpg;Traitements/Sobel_v_Bedretto (Tessin) 1imageDecoup.jpg;4106372;4073316;horizontal
Bellamonte (Val Travignolo) 1.jpg;2012:10:18 15:01:27;Bellamonte (Val Travignolo) 1masque.jpg;Bellamonte (Val Travignolo) 1imageDecoup.jpg;Traitements/Sobel_h_Bellamonte (Val Travignolo) 1imageDecoup.jpg;Traitements/Sobel_v_Bellamonte (Val Travignolo) 1imageDecoup.jpg;1715484;1675078;horizontal
Bellasta 2 - annexe.jpg;2010:08:23 12:38:19;Bellasta 2 - annexemasque.jpg;Bellasta 2 - annexeimageDecoup.jpg;Traitements/Sobel_h_Bellasta 2 - annexeimageDecoup.jpg;Traitements/Sobel_v_Bellasta 2 - annexeimageDecoup.jpg;1323188;1320480;horizontal
Belleville (bar du télécabine).jpg;2010:08:10 18:16:22;Belleville (bar du télécabine)masque.jpg;Belleville (bar du télécabine)imageDecoup.jpg;Traitements/Sobel_h_Belleville (bar du télécabine)imageDecoup.jpg;Traitements/Sobel_v_Belleville (bar du télécabine)imageDecoup.jpg;2810002;2773477;horizontal
Belleville (parking du télécabine).jpg;2010:08:10 18:13:59;Belleville (parking du télécabine)masque.jpg;Belleville (parking du télécabine)imageDecoup.jpg;Traitements/Sobel_h_Belleville (parking du télécabine)imageDecoup.jpg;Traitements/Sobel_v_Belleville (parking du télécabine)imageDecoup.jpg;3009880;2993435;horizontal
Belleville 4 - annexe.jpg;2011:07:10 17:08:23;Belleville 4 - annexemasque.jpg;Belleville 4 - annexeimageDecoup.jpg;Traitements/Sobel_h_Belleville 4 - annexeimageDecoup.jpg;Traitements/Sobel_v_Belleville 4 - annexeimageDecoup.jpg;6229001;6221261;horizontal
Belleville 5 - annexe.jpg;2011:08:16 15:50:40;Belleville 5 - annexemasque.jpg;Belleville 5 - annexeimageDecoup.jpg;Traitements/Sobel_h_Belleville 5 - annexeimageDecoup.jpg;Traitements/Sobel_v_Belleville 5 - annexeimageDecoup.jpg;6131169;6122781;horizontal
Belleville 8 - annexe.jpg;2011:08:29 18:38:13;Belleville 8 - annexemasque.jpg;Belleville 8 - annexeimageDecoup.jpg;Traitements/Sobel_h_Belleville 8 - annexeimageDecoup.jpg;Traitements/Sobel_v_Belleville 8 - annexeimageDecoup.jpg;5907923;5867057;horizontal
Bellino - Celle .jpg;2015:04:29 13:26:43;Bellino - Celle masque.jpg;Bellino - Celle imageDecoup.jpg;Traitements/Sobel_h_Bellino - Celle imageDecoup.jpg;Traitements/Sobel_v_Bellino - Celle imageDecoup.jpg;3555816;3512988;horizontal
Bellino - Chiazale.jpg;2015:04:29 13:37:13;Bellino - Chiazalemasque.jpg;Bellino - ChiazaleimageDecoup.jpg;Traitements/Sobel_h_Bellino - ChiazaleimageDecoup.jpg;Traitements/Sobel_v_Bellino - ChiazaleimageDecoup.jpg;987555;982953;horizontal
Bellino - Pleyne 1 & 2.jpg;2015:04:29 13:11:15;Bellino - Pleyne 1 & 2masque.jpg;Bellino - Pleyne 1 & 2imageDecoup.jpg;Traitements/Sobel_h_Bellino - Pleyne 1 & 2imageDecoup.jpg;Traitements/Sobel_v_Bellino - Pleyne 1 & 2imageDecoup.jpg;9624002;9499697;horizontal
Bernau 1 et 2.jpg;2014:10:14 10:20:10;Bernau 1 et 2masque.jpg;Bernau 1 et 2imageDecoup.jpg;Traitements/Sobel_h_Bernau 1 et 2imageDecoup.jpg;Traitements/Sobel_v_Bernau 1 et 2imageDecoup.jpg;980567;969781;horizontal
Bessans - les Vincendières.jpg;2016:10:14 15:36:14;Bessans - les Vincendièresmasque.jpg;Bessans - les VincendièresimageDecoup.jpg;Traitements/Sobel_h_Bessans - les VincendièresimageDecoup.jpg;Traitements/Sobel_v_Bessans - les VincendièresimageDecoup.jpg;1000240;1001458;vertical
Bessé bas - paysage.jpg;2013:05:03 17:32:47;Bessé bas - paysagemasque.jpg;Bessé bas - paysageimageDecoup.jpg;Traitements/Sobel_h_Bessé bas - paysageimageDecoup.jpg;Traitements/Sobel_v_Bessé bas - paysageimageDecoup.jpg;5464261;5439079;horizontal
Bessé bas 2 + 1.jpg;2013:05:03 17:24:36;Bessé bas 2 + 1masque.jpg;Bessé bas 2 + 1imageDecoup.jpg;Traitements/Sobel_h_Bessé bas 2 + 1imageDecoup.jpg;Traitements/Sobel_v_Bessé bas 2 + 1imageDecoup.jpg;2662010;2605369;horizontal
Bessé bas 2 e + 3.jpg;2013:05:03 17:23:36;Bessé bas 2 e + 3masque.jpg;Bessé bas 2 e + 3imageDecoup.jpg;Traitements/Sobel_h_Bessé bas 2 e + 3imageDecoup.jpg;Traitements/Sobel_v_Bessé bas 2 e + 3imageDecoup.jpg;4077067;3994878;horizontal
Bessé bas 5.jpg;2013:05:03 17:29:00;Bessé bas 5masque.jpg;Bessé bas 5imageDecoup.jpg;Traitements/Sobel_h_Bessé bas 5imageDecoup.jpg;Traitements/Sobel_v_Bessé bas 5imageDecoup.jpg;4304735;4289658;horizontal
Bienzwiler - Brünigpass 1 + 2.jpg;2013:08:14 14:37:59;Bienzwiler - Brünigpass 1 + 2masque.jpg;Bienzwiler - Brünigpass 1 + 2imageDecoup.jpg;Traitements/Sobel_h_Bienzwiler - Brünigpass 1 + 2imageDecoup.jpg;Traitements/Sobel_v_Bienzwiler - Brünigpass 1 + 2imageDecoup.jpg;303066;299420;horizontal
Bienzwiler - Brünigpass 1d.jpg;2013:08:14 14:34:11;Bienzwiler - Brünigpass 1dmasque.jpg;Bienzwiler - Brünigpass 1dimageDecoup.jpg;Traitements/Sobel_h_Bienzwiler - Brünigpass 1dimageDecoup.jpg;Traitements/Sobel_v_Bienzwiler - Brünigpass 1dimageDecoup.jpg;4621544;4589760;horizontal
Bobbio Pellice a.jpg;2015:04:28 09:27:19;Bobbio Pellice amasque.jpg;Bobbio Pellice aimageDecoup.jpg;Traitements/Sobel_h_Bobbio Pellice aimageDecoup.jpg;Traitements/Sobel_v_Bobbio Pellice aimageDecoup.jpg;5169438;5142088;horizontal
Bocna - Nadbocna a.jpg;2014:10:17 10:19:16;Bocna - Nadbocna amasque.jpg;Bocna - Nadbocna aimageDecoup.jpg;Traitements/Sobel_h_Bocna - Nadbocna aimageDecoup.jpg;Traitements/Sobel_v_Bocna - Nadbocna aimageDecoup.jpg;2260400;2248504;horizontal
Bocna - Nadbocna annexe 1b.jpg;2014:10:17 10:25:23;Bocna - Nadbocna annexe 1bmasque.jpg;Bocna - Nadbocna annexe 1bimageDecoup.jpg;Traitements/Sobel_h_Bocna - Nadbocna annexe 1bimageDecoup.jpg;Traitements/Sobel_v_Bocna - Nadbocna annexe 1bimageDecoup.jpg;3203137;3112982;horizontal
Bocna - Nadbocna.jpg;2014:10:17 10:31:51;Bocna - Nadbocnamasque.jpg;Bocna - NadbocnaimageDecoup.jpg;Traitements/Sobel_h_Bocna - NadbocnaimageDecoup.jpg;Traitements/Sobel_v_Bocna - NadbocnaimageDecoup.jpg;3078302;3087995;vertical
Bormio 2 a.jpg;2014:04:21 11:41:29;Bormio 2 amasque.jpg;Bormio 2 aimageDecoup.jpg;Traitements/Sobel_h_Bormio 2 aimageDecoup.jpg;Traitements/Sobel_v_Bormio 2 aimageDecoup.jpg;8252544;8145746;horizontal
Bormio 2 b .jpg;2014:04:21 11:42:16;Bormio 2 b masque.jpg;Bormio 2 b imageDecoup.jpg;Traitements/Sobel_h_Bormio 2 b imageDecoup.jpg;Traitements/Sobel_v_Bormio 2 b imageDecoup.jpg;11446254;11399287;horizontal
Bracciello 1 a.jpg;2013:05:04 19:27:12;Bracciello 1 amasque.jpg;Bracciello 1 aimageDecoup.jpg;Traitements/Sobel_h_Bracciello 1 aimageDecoup.jpg;Traitements/Sobel_v_Bracciello 1 aimageDecoup.jpg;1842896;1829613;horizontal
Bramans - Le Verney 1.jpg;2016:10:14 12:55:16;Bramans - Le Verney 1masque.jpg;Bramans - Le Verney 1imageDecoup.jpg;Traitements/Sobel_h_Bramans - Le Verney 1imageDecoup.jpg;Traitements/Sobel_v_Bramans - Le Verney 1imageDecoup.jpg;5092912;5212092;vertical
Bramans - Le Verney.jpg;2016:10:14 12:54:47;Bramans - Le Verneymasque.jpg;Bramans - Le VerneyimageDecoup.jpg;Traitements/Sobel_h_Bramans - Le VerneyimageDecoup.jpg;Traitements/Sobel_v_Bramans - Le VerneyimageDecoup.jpg;14108253;14069820;horizontal
